asin,title,price
0141398876,Little Black Classics Box Set (Penguin Little Black Classics),"{""currency"": ""USD"", ""value"": 75.64}"
0241265541,War and Peace (Penguin Clothbound Classics),"{""currency"": ""USD"", ""value"": 16.59}"
